forecast_date,target,target_end_date,location,type,quantile,value
2021-07-18,4 wk ahead cum death,2021-08-14,US,quantile,0.350,618349.8999999998
2021-07-18,4 wk ahead inc death,2021-08-14,US,quantile,0.400,3639.33596
2021-07-18,4 wk ahead cum death,2021-08-14,US,quantile,0.400,619117.6999999998
2021-07-18,4 wk ahead inc death,2021-08-14,US,quantile,0.450,3845.3975100000002
2021-07-18,4 wk ahead cum death,2021-08-14,US,quantile,0.450,619902.3599999999
2021-07-18,4 wk ahead inc death,2021-08-14,US,quantile,0.500,4097.474539999999
2021-07-18,4 wk ahead inc case,2021-08-14,US,quantile,0.500,401007.045
2021-07-18,4 wk ahead cum death,2021-08-14,US,quantile,0.500,620652.4499999997
2021-07-18,4 wk ahead inc death,2021-08-14,US,quantile,0.550,4556.9460899999995
2021-07-18,4 wk ahead cum death,2021-08-14,US,quantile,0.550,621302.3999999998
2021-07-18,4 wk ahead inc death,2021-08-14,US,quantile,0.600,5061.2144499999995
2021-07-18,4 wk ahead cum death,2021-08-14,US,quantile,0.600,621687.9499999997
2021-07-18,4 wk ahead inc death,2021-08-14,US,quantile,0.650,5322.8247599999995
2021-07-18,4 wk ahead cum death,2021-08-14,US,quantile,0.650,622745.0999999997
2021-07-18,4 wk ahead inc death,2021-08-14,US,quantile,0.700,5695.843519999999
2021-07-18,4 wk ahead cum death,2021-08-14,US,quantile,0.700,623555.8399999997
2021-07-18,4 wk ahead inc death,2021-08-14,US,quantile,0.750,6210.755229999999
2021-07-18,4 wk ahead inc case,2021-08-14,US,quantile,0.750,678928.084
2021-07-18,4 wk ahead cum death,2021-08-14,US,quantile,0.750,624219.2599999998
2021-07-18,4 wk ahead inc death,2021-08-14,US,quantile,0.800,6783.003070000001
2021-07-18,4 wk ahead cum death,2021-08-14,US,quantile,0.800,624558.1599999998
2021-07-18,4 wk ahead inc death,2021-08-14,US,quantile,0.850,7441.1959400000005
2021-07-18,4 wk ahead cum death,2021-08-14,US,quantile,0.850,627990.0599999998
2021-07-18,4 wk ahead inc death,2021-08-14,US,quantile,0.900,8500.195899999999
2021-07-18,4 wk ahead inc case,2021-08-14,US,quantile,0.900,886364.4800000001
2021-07-18,4 wk ahead cum death,2021-08-14,US,quantile,0.900,629306.8399999997
2021-07-18,4 wk ahead inc death,2021-08-14,US,quantile,0.950,10480.3837
2021-07-18,4 wk ahead cum death,2021-08-14,US,quantile,0.950,632858.2599999998
2021-07-18,4 wk ahead inc death,2021-08-14,US,quantile,0.975,13467.032
2021-07-18,4 wk ahead inc case,2021-08-14,US,quantile,0.975,1536558.04
2021-07-18,4 wk ahead cum death,2021-08-14,US,quantile,0.975,636889.4399999997
2021-07-18,4 wk ahead inc death,2021-08-14,US,quantile,0.990,14707.456
2021-07-18,4 wk ahead cum death,2021-08-14,US,quantile,0.990,640557.8099999998
2021-07-18,1 wk ahead inc death,2021-07-24,01,point,NA,79.709703
2021-07-18,1 wk ahead inc case,2021-07-24,01,point,NA,4038.6515700000004
2021-07-18,1 wk ahead cum death,2021-07-24,01,point,NA,11522.704
2021-07-18,1 wk ahead inc death,2021-07-24,02,point,NA,3.74713754
2021-07-18,1 wk ahead inc case,2021-07-24,02,point,NA,418.327316
2021-07-18,1 wk ahead cum death,2021-07-24,02,point,NA,384.80237
2021-07-18,1 wk ahead inc death,2021-07-24,04,point,NA,76.801015
2021-07-18,1 wk ahead inc case,2021-07-24,04,point,NA,4663.82309
2021-07-18,1 wk ahead cum death,2021-07-24,04,point,NA,18177.324
2021-07-18,1 wk ahead inc death,2021-07-24,05,point,NA,82.120668
2021-07-18,1 wk ahead inc case,2021-07-24,05,point,NA,5587.45635
2021-07-18,1 wk ahead cum death,2021-07-24,05,point,NA,6073.766500000001
2021-07-18,1 wk ahead inc death,2021-07-24,06,point,NA,418.88207800000004
2021-07-18,1 wk ahead inc case,2021-07-24,06,point,NA,30483.029299999995
2021-07-18,1 wk ahead cum death,2021-07-24,06,point,NA,64515.22
2021-07-18,1 wk ahead inc death,2021-07-24,08,point,NA,28.0323872
2021-07-18,1 wk ahead inc case,2021-07-24,08,point,NA,1336.9682
2021-07-18,1 wk ahead cum death,2021-07-24,08,point,NA,6914.071800000001
2021-07-18,1 wk ahead inc death,2021-07-24,09,point,NA,0.49344377599999995
2021-07-18,1 wk ahead inc case,2021-07-24,09,point,NA,456.271443
2021-07-18,1 wk ahead cum death,2021-07-24,09,point,NA,8282.481
2021-07-18,1 wk ahead inc death,2021-07-24,10,point,NA,1.64247666
2021-07-18,1 wk ahead inc case,2021-07-24,10,point,NA,86.48008150000001
2021-07-18,1 wk ahead cum death,2021-07-24,10,point,NA,1698.6596
2021-07-18,1 wk ahead inc death,2021-07-24,11,point,NA,2.7714745499999998
